Station Name,Lines Served,Valid for Colours,Borough
Bay Ridge-95 St,R,Yellow (Stripe),Brooklyn
Bay Terrace,SIR,Wildcard,Staten Island
Baychester Av,5,Green (Stripe),Bronx
Beach 105 St,"A, S","Blue (Solid), Wildcard",Queens
Beach 25 St,A,Blue (Solid),Queens
Beach 36 St,A,Blue (Solid),Queens
Beach 44 St,A,Blue (Solid),Queens
Beach 60 St,A,Blue (Solid),Queens
Beach 67 St,A,Blue (Solid),Queens
Beach 90 St,"A, S","Blue (Solid), Wildcard",Queens
Beach 98 St,"A, S","Blue (Solid), Wildcard",Queens
Bedford Av,L,Black,Brooklyn
Bedford Park Blvd,"B, D",Orange (Solid),Bronx
Bedford Park Blvd-Lehman College,4,Green (Solid),Bronx
Bedford-Nostrand Avs,G,Black,Brooklyn
Bergen St,"2, 3, F, G","Black, Orange (Stripe), Red (Solid), Red (Stripe)",Brooklyn
Beverley Rd,Q,Yellow (Solid),Brooklyn
Beverly Rd,"2, 5","Green (Stripe), Red (Solid)",Brooklyn
Bleecker St,6,Green (Stripe),Manhattan
Borough Hall,"2, 3, 4, 5","Green (Solid), Green (Stripe), Red (Solid), Red (Stripe)",Brooklyn
Botanic Garden,S,Wildcard,Brooklyn
Bowery,"J, Z","Brown (Solid), Brown (Stripe)",Manhattan
Bowling Green,"4, 5","Green (Solid), Green (Stripe)",Manhattan
Briarwood,"E, F","Blue (Stripe), Orange (Stripe)",Queens
Brighton Beach,"B, Q","Orange (Solid), Yellow (Solid)",Brooklyn
Broad Channel,"A, S","Blue (Solid), Wildcard",Queens
Broad St,"J, Z","Brown (Solid), Brown (Stripe)",Manhattan
Broadway Junction,"A, C, J, L, Z","Black, Blue (Solid), Blue (Stripe), Brown (Solid), Brown (Stripe)",Brooklyn
Broadway,"G, N, W","Black, Yellow (Solid), Yellow (Stripe)",Brooklyn
Broadway-Lafayette St,"B, D, F, M","Orange (Solid), Orange (Stripe)",Manhattan
Bronx Park East,"2, 5","Green (Stripe), Red (Solid)",Bronx
Brook Av,6,Green (Stripe),Bronx
Brooklyn Bridge-City Hall,"4, 5, 6","Green (Solid), Green (Stripe)",Manhattan
Buhre Av,6,Green (Stripe),Bronx
Burke Av,"2, 5","Green (Stripe), Red (Solid)",Bronx
Burnside Av,4,Green (Solid),Bronx
Bushwick Av-Aberdeen St,L,Black,Brooklyn
Canal St,"1, 6, A, C, E, J, N, Q, R, W, Z","Blue (Solid), Blue (Stripe), Brown (Solid), Brown (Stripe), Green (Stripe), Red (Solid), Yellow (Solid), Yellow (Stripe)",Manhattan
Canarsie-Rockaway Pkwy,L,Black,Brooklyn
Carroll St,"F, G","Black, Orange (Stripe)",Brooklyn
Castle Hill Av,6,Green (Stripe),Bronx
Cathedral Pkwy (110 St),"1, B, C","Blue (Stripe), Orange (Solid), Red (Solid)",Manhattan
Central Av,M,Orange (Stripe),Brooklyn
Chambers St,"1, 2, 3, A, C, J, Z","Blue (Solid), Blue (Stripe), Brown (Solid), Brown (Stripe), Red (Solid), Red (Stripe)",Manhattan
Chauncey St,"J, Z","Brown (Solid), Brown (Stripe)",Brooklyn
Christopher St-Stonewall,1,Red (Solid),Manhattan
Church Av,"2, 5, B, F, G, Q","Black, Green (Stripe), Orange (Solid), Orange (Stripe), Red (Solid), Yellow (Solid)",Brooklyn
City Hall,"R, W",Yellow (Stripe),Manhattan
Clark St,"2, 3","Red (Solid), Red (Stripe)",Brooklyn
Classon Av,G,Black,Brooklyn
Cleveland St,J,Brown (Solid),Brooklyn
Clifton,SIR,Wildcard,Staten Island
Clinton-Washington Avs,"C, G","Black, Blue (Stripe)",Brooklyn
Coney Island-Stillwell Av,"D, F, N, Q","Orange (Solid), Orange (Stripe), Yellow (Solid)",Brooklyn
Cortelyou Rd,Q,Yellow (Solid),Brooklyn
Cortlandt St,"R, W",Yellow (Stripe),Manhattan
Court Sq,"7, G","Black, Purple (Solid), Purple (Stripe)",Queens
Court Sq-23 St,"E, F","Blue (Stripe), Orange (Stripe)",Queens
Court St,R,Yellow (Stripe),Brooklyn
Crescent St,"J, Z","Brown (Solid), Brown (Stripe)",Brooklyn
Crown Hts-Utica Av,"3, 4","Green (Solid), Red (Stripe)",Brooklyn
Cypress Av,6,Green (Stripe),Bronx
Cypress Hills,J,Brown (Solid),Brooklyn
DeKalb Av,"B, L, Q, R","Black, Orange (Solid), Yellow (Solid), Yellow (Stripe)",Brooklyn
Delancey St-Essex St,"F, J, M, Z","Brown (Solid), Brown (Stripe), Orange (Stripe)",Manhattan
Ditmas Av,F,Orange (Stripe),Brooklyn
Dongan Hills,SIR,Wildcard,Staten Island
Dyckman St,"1, A","Blue (Solid), Red (Solid)",Manhattan
E 143 St-St Mary's St,6,Green (Stripe),Bronx
E 149 St,6,Green (Stripe),Bronx
E 180 St,"2, 5","Green (Stripe), Red (Solid)",Bronx
East 105 St,L,Black,Brooklyn
East Broadway,F,Orange (Stripe),Manhattan
Eastchester-Dyre Av,5,Green (Stripe),Bronx
Eastern Pkwy-Brooklyn Museum,"2, 3","Red (Solid), Red (Stripe)",Brooklyn
Elder Av,6,Green (Stripe),Bronx
Elmhurst Av,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
Eltingville,SIR,Wildcard,Staten Island
Euclid Av,"A, C","Blue (Solid), Blue (Stripe)",Brooklyn
Far Rockaway-Mott Av,A,Blue (Solid),Queens
Flatbush Av-Brooklyn College,"2, 5","Green (Stripe), Red (Solid)",Brooklyn
Flushing Av,"G, J, M","Black, Brown (Solid), Orange (Stripe)",Brooklyn
Flushing-Main St,7,"Purple (Solid), Purple (Stripe)",Queens
Fordham Rd,"4, B, D","Green (Solid), Orange (Solid)",Bronx
Forest Av,M,Orange (Stripe),Queens
Forest Hills-71 Av,"E, F, M, R","Blue (Stripe), Orange (Stripe), Yellow (Stripe)",Queens
Fort Hamilton Pkwy,"D, F, G, N","Black, Orange (Solid), Orange (Stripe), Yellow (Solid)",Brooklyn
Franklin Av,"C, S","Blue (Stripe), Wildcard",Brooklyn
Franklin Av-Medgar Evers College,"2, 3, 4, 5","Green (Solid), Green (Stripe), Red (Solid), Red (Stripe)",Brooklyn
Franklin St,1,Red (Solid),Manhattan
Freeman St,"2, 5","Green (Stripe), Red (Solid)",Bronx
Fresh Pond Rd,M,Orange (Stripe),Queens
Fulton St,"2, 3, 4, 5, A, C, G, J, Z","Black, Blue (Solid), Blue (Stripe), Brown (Solid), Brown (Stripe), Green (Solid), Green (Stripe), Red (Solid), Red (Stripe)",Manhattan
Gates Av,"J, Z","Brown (Solid), Brown (Stripe)",Brooklyn
Graham Av,L,Black,Brooklyn
Grand Army Plaza,"2, 3","Red (Solid), Red (Stripe)",Brooklyn
Grand Av-Newtown,"M, R","Orange (Stripe), Yellow (Stripe)",Queens
Grand Central-42 St,"4, 5, 6, 7, S","Green (Solid), Green (Stripe), Purple (Solid), Purple (Stripe), Wildcard",Manhattan
Grand St,"B, D, L","Black, Orange (Solid)",Brooklyn
Grant Av,A,Blue (Solid),Brooklyn
Grant City,SIR,Wildcard,Staten Island
Grasmere,SIR,Wildcard,Staten Island
Great Kills,SIR,Wildcard,Staten Island
Greenpoint Av,G,Black,Brooklyn
Gun Hill Rd,"2, 5","Green (Stripe), Red (Solid)",Bronx
Halsey St,"J, L","Black, Brown (Solid)",Queens
Harlem-148 St,3,Red (Stripe),Manhattan
Hewes St,"J, M","Brown (Solid), Orange (Stripe)",Brooklyn
High St,"A, C","Blue (Solid), Blue (Stripe)",Brooklyn
Houston St,1,Red (Solid),Manhattan
Howard Beach-JFK Airport,A,Blue (Solid),Queens
Hoyt St,"2, 3","Red (Solid), Red (Stripe)",Brooklyn
Hoyt-Schermerhorn Sts,"A, C, G","Black, Blue (Solid), Blue (Stripe)",Brooklyn
Huguenot,SIR,Wildcard,Staten Island
Hunters Point Av,7,"Purple (Solid), Purple (Stripe)",Queens
